Player,OPS,HR,BattingAvg,RBI,Position,Team,Salary
Isaac Collins,0.779,9,0.263,54,OF,Brewers,761100
Mitch Garver,0.64,9,0.209,30,C,Mariners,12500000
Randal Grichuk,0.674,9,0.228,27,OF,Diamondbacks,2000000
Jonathan India,0.669,9,0.233,45,3B,Royals,7050000
Ryan Jeffers,0.753,9,0.266,47,C,Twins,4550000
Starling Marte,0.745,9,0.27,34,OF,Mets,20750000
Gabriel Moreno,0.786,9,0.285,40,C,Diamondbacks,793000
Tyler O'Neill,0.684,9,0.199,26,OF,Orioles,16500000
Joc Pederson,0.613,9,0.181,26,OF,Rangers,18500000
Rob Refsnyder,0.838,9,0.269,30,OF,Red Sox,2100000
Luis Rengifo,0.622,9,0.238,43,2B,Angels,5950000
Adley Rutschman,0.673,9,0.22,29,C,Orioles,5500000
Cam Smith,0.67,9,0.236,51,OF,Astros,760000
Michael A. Taylor,0.625,9,0.2,35,OF,White Sox,1950000
Alek Thomas,0.659,9,0.249,38,OF,Diamondbacks,793000
Ezequiel Tovar,0.694,9,0.253,33,SS,Rockies,4214286
Eric Wagaman,0.674,9,0.25,53,3B,Marlins,770000
Masyn Winn,0.673,9,0.253,51,SS,Cardinals,770850
Riley Adams,0.56,8,0.186,24,C,Nationals,850000
Luis Arraez,0.719,8,0.292,61,1B,Padres,14000000
Kyle Farmer,0.645,8,0.227,31,SS,Rockies,2500000
David Fry,0.592,8,0.171,23,C,Guardians,781900
Luis Matos,0.69,8,0.221,22,OF,Giants,780000
Pavin Smith,0.796,8,0.258,28,1B,Diamondbacks,1500000
Blaze Alexander,0.706,7,0.23,28,INF,Diamondbacks,766300
Jake Bauers,0.752,7,0.235,28,1B,Brewers,1400000
Ty France,0.68,7,0.257,52,1B,Twins,1000000
Adam Frazier,0.684,7,0.267,44,2B,Pirates,1525000
Nico Hoerner,0.739,7,0.297,61,2B,Cubs,11500000
Matt Mervis,0.637,7,0.175,14,1B,Marlins,763000
Ryan Mountcastle,0.653,7,0.25,35,1B,Orioles,6787000
Joey Ortiz,0.593,7,0.23,45,SS,Brewers,776000
Miguel Rojas,0.715,7,0.262,27,SS,Dodgers,5000000
Jared Triolo,0.667,7,0.227,24,INF,Pirates,775000
Yordan Alvarez,0.797,6,0.273,27,DH,Astros,15833333
Patrick Bailey,0.602,6,0.222,55,C,Giants,780000
Kristian Campbell,0.664,6,0.223,21,2B,Red Sox,760000
Paul DeJong,0.642,6,0.228,23,3B,Nationals,1000000
Christian Encarnacion-Strand,0.611,6,0.208,19,1B,Reds,770000
Jake Fraley,0.714,6,0.241,23,OF,Reds,3125000
David Hamilton,0.59,6,0.198,19,OF,Red Sox,780000
Liam Hicks,0.692,6,0.247,45,C,Marlins,760000
Ronny Mauricio,0.662,6,0.226,10,INF,Mets,766000
Dane Myers,0.617,6,0.235,31,OF,Marlins,769000
Jhonkensy Noel,0.48,6,0.162,13,OF,Guardians,766900
Kyren Paris,0.647,6,0.19,11,SS,Angels,770000
Amed Rosario,0.745,6,0.276,23,INF,Nationals,2000000
Javier Sanoja,0.683,6,0.243,38,OF,Marlins,761500
Anthony Santander,0.565,6,0.175,18,OF,Blue Jays,10471465
Trey Sweeney,0.549,6,0.196,32,SS,Tigers,764000
Jordan Walker,0.584,6,0.215,41,OF,Cardinals,770800
Austin Wynns,0.865,6,0.291,21,C,Reds,1100000
Travis d'Arnaud,0.598,6,0.197,21,C,Angels,6000000
Alex Call,0.746,5,0.267,31,OF,Nationals,769100
Freddy Fermin,0.636,5,0.251,26,C,Royals,781750
Nick Fortes,0.645,5,0.229,21,C,Marlins,1860000
Nick Gonzales,0.661,5,0.26,30,2B,Pirates,775000
Ke'Bryan Hayes,0.596,5,0.235,49,3B,Pirates,7000000
Austin Hedges,0.527,5,0.161,10,C,Guardians,4000000
Nolan Jones,0.6,5,0.211,34,OF,Guardians,770000
Ha-Seong Kim,0.649,5,0.234,17,SS,Rays,13000000
Gavin Lux,0.724,5,0.269,53,2B,Reds,3325000
Kameron Misner,0.618,5,0.213,22,OF,Rays,760700
Oswald Peraza,0.473,5,0.164,20,SS,Yankees,772700
Brayan Rocchio,0.63,5,0.233,44,SS,Guardians,771000
Austin Slater,0.642,5,0.216,13,OF,White Sox,1750000
Luis Torrens,0.629,5,0.226,29,C,Mets,1500000
Weston Wilson,0.651,5,0.198,17,INF,Phillies,764000
Miguel Amaya,0.814,4,0.281,25,C,Cubs,782500
Joey Bart,0.695,4,0.249,30,C,Pirates,1750000
Tyler Fitzgerald,0.605,4,0.217,14,2B,Giants,780000
Kyle Isbel,0.654,4,0.255,33,OF,Royals,1750000
Heston Kjerstad,0.567,4,0.192,19,OF,Orioles,764000
Jake McCarthy,0.592,4,0.204,20,OF,Diamondbacks,803900
Parker Meadows,0.621,4,0.215,16,OF,Tigers,781600
Graham Pauley,0.677,4,0.224,11,3B,Marlins,761500
Luke Raley,0.63,4,0.202,19,1B,Mariners,787400
Myles Straw,0.68,4,0.262,32,OF,Blue Jays,6000000
Lane Thomas,0.518,4,0.16,11,OF,Guardians,7825000
Jose Trevino,0.623,4,0.238,22,C,Reds,3425000
Taylor Walls,0.599,4,0.22,38,INF,Rays,1350000
Masataka Yoshida,0.695,4,0.266,26,OF,Red Sox,18600000
Orlando Arcia,0.529,3,0.202,13,SS,Braves,2000000
Triston Casas,0.58,3,0.182,11,1B,Red Sox,774000
Xavier Edwards,0.696,3,0.283,43,SS,Marlins,772000
Thairo Estrada,0.655,3,0.253,21,2B,Rockies,3250000
Tyler Heineman,0.777,3,0.289,20,C,Blue Jays,780300
Derek Hill,0.609,3,0.216,11,OF,Marlins,831000
Jose Iglesias,0.592,3,0.229,36,2B,Padres,3000000
Edouard Julien,0.633,3,0.22,12,2B,Twins,772750
Christian Koss,0.677,3,0.264,23,INF,Giants,760000
Michael Massey,0.581,3,0.244,20,2B,Royals,790250
Curtis Mead,0.62,3,0.233,19,INF,Rays,762200
Jake Meyers,0.727,3,0.292,24,OF,Astros,2300000
Blake Perkins,0.646,3,0.226,19,OF,Brewers,802500
